IGN,Relic Donation Points,Date,File
Karou8,145900,2023-07-13,relicDonations/segment_41.jpg
xChocobo,19300,2023-07-13,relicDonations/segment_81.jpg
3,112400,2023-07-13,relicDonations/segment_56.jpg
MarinKkitagawa,104900,2023-07-13,relicDonations/segment_43.jpg
Nickknack,141700,2023-07-13,relicDonations/segment_50.jpg
r2miss,140700,2023-07-13,relicDonations/segment_36.jpg
Donation,291400,2023-07-13,relicDonations/segment_8.jpg
SAN,259600,2023-07-13,relicDonations/segment_23.jpg
JuicyII1,163800,2023-07-13,relicDonations/segment_30.jpg
BigBoyChaddy,199600,2023-07-13,relicDonations/segment_25.jpg
Portallifesource,254300,2023-07-13,relicDonations/segment_19.jpg
2,200300,2023-07-13,relicDonations/segment_17.jpg
Steveth,218100,2023-07-13,relicDonations/segment_28.jpg
RougeAether,172400,2023-07-13,relicDonations/segment_15.jpg
Acebites,358900,2023-07-13,relicDonations/segment_6.jpg
Adriik,238900,2023-07-13,relicDonations/segment_10.jpg
Gingerdoodles,432200,2023-07-13,relicDonations/segment_4.jpg
MelonBunii,107200,2023-07-13,relicDonations/segment_48.jpg
Minty24,24000,2023-07-13,relicDonations/segment_77.jpg
3,83300,2023-07-13,relicDonations/segment_62.jpg
SALTMAMA,71900,2023-07-13,relicDonations/segment_67.jpg
darkvioletfox,46800,2023-07-13,relicDonations/segment_71.jpg
